kew_id,family,genus,species,infraspecies,taxon_name,authors,rank,taxonomic_status,accepted_kew_id,accepted_name,accepted_authors,parent_kew_id,parent_name,parent_authors,reviewed,publication,original_name_id
77098516-1,Acanthaceae,Acanthopale,aethiogermanica,,Acanthopale aethiogermanica,Ensermu,SPECIES,Accepted,,,,340-1,Acanthopale,C.B.Clarke,In review,Kew Bull. 64: 58 (2009),
77153331-1,Acanthaceae,Acanthopale,breviceps,,Acanthopale breviceps,(Benoist) Callm. & Phillipson,SPECIES,Accepted,,,,340-1,Acanthopale,C.B.Clarke,In review,Candollea 70: 254 (2015),55581-1
44819-1,Acanthaceae,Acanthopale,confertiflora,,Acanthopale confertiflora,(Lindau) C.B.Clarke,SPECIES,Accepted,,,,340-1,Acanthopale,C.B.Clarke,In review,"D.Oliver & auct. suc. (eds.), Fl. Trop. Afr. 5: 64 (1899)",47950-1
77153332-1,Acanthaceae,Acanthopale,cuneifolia,,Acanthopale cuneifolia,(Benoist) Callm. & Phillipson,SPECIES,Accepted,,,,340-1,Acanthopale,C.B.Clarke,In review,Candollea 70: 254 (2015),55625-1
44821-1,Acanthaceae,Acanthopale,decempedalis,,Acanthopale decempedalis,C.B.Clarke,SPECIES,Accepted,,,,340-1,Acanthopale,C.B.Clarke,In review,"D.Oliver & auct. suc. (eds.), Fl. Trop. Afr. 5: 63 (1899)",
77153333-1,Acanthaceae,Acanthopale,humblotii,,Acanthopale humblotii,(Benoist) Callm. & Phillipson,SPECIES,Accepted,,,,340-1,Acanthopale,C.B.Clarke,In review,Candollea 70: 255 (2015),55736-1
44824-1,Acanthaceae,Acanthopale,laxiflora,,Acanthopale laxiflora,(Lindau) C.B.Clarke,SPECIES,Accepted,,,,340-1,Acanthopale,C.B.Clarke,In review,"D.Oliver & auct. suc. (eds.), Fl. Trop. Afr. 5: 63 (1899)",47952-1
77092225-1,Acanthaceae,Acanthopale,macrocarpa,,Acanthopale macrocarpa,Vollesen,SPECIES,Accepted,,,,340-1,Acanthopale,C.B.Clarke,In review,"Fl. Trop. E. Africa, Acanth.(1): 218 (2008)",
44826-1,Acanthaceae,Acanthopale,madagascariensis,,Acanthopale madagascariensis,(Baker) C.B.Clarke ex Bremek.,SPECIES,Accepted,,,,340-1,Acanthopale,C.B.Clarke,In review,Bot. Jahrb. Syst. 73: 143 (1943),55801-1
77153334-1,Acanthaceae,Acanthopale,perrieri,,Acanthopale perrieri,(Benoist) Callm. & Phillipson,SPECIES,Accepted,,,,340-1,Acanthopale,C.B.Clarke,In review,Candollea 70: 255 (2015),55873-1
44828-1,Acanthaceae,Acanthopale,pubescens,,Acanthopale pubescens,(Lindau ex Engl.) C.B.Clarke,SPECIES,Accepted,,,,340-1,Acanthopale,C.B.Clarke,In review,"D.Oliver & auct. suc. (eds.), Fl. Trop. Afr. 5: 64 (1899)",47954-1
77153335-1,Acanthaceae,Acanthopale,ramiflora,,Acanthopale ramiflora,(Benoist) Callm. & Phillipson,SPECIES,Accepted,,,,340-1,Acanthopale,C.B.Clarke,In review,Candollea 70: 255 (2015),55906-1
77148244-1,Acanthaceae,Acanthopsis,adamanticola,,Acanthopsis adamanticola,H.M.Steyn,SPECIES,Accepted,,,,342-1,Acanthopsis,Harv.,In review,Phytotaxa 219: 12 (2015),
